Target,AccMeanX,AccMeanY,AccMeanZ,AccCovX,AccCovY,AccCovZ,AccSkewX,AccSkewY,AccSkewZ,AccKurtX,AccKurtY,AccKurtZ,AccSumX,AccSumY,AccSumZ,AccMinX,AccMinY,AccMinZ,AccMaxX,AccMaxY,AccMaxZ,AccVarX,AccVarY,AccVarZ,AccMedianX,AccMedianY,AccMedianZ,AccStdX,AccStdY,AccStdZ,GyroMeanX,GyroMeanY,GyroMeanZ,GyroCovX,GyroCovY,GyroCovZ,GyroSkewX,GyroSkewY,GyroSkewZ,GyroSumX,GyroSumY,GyroSumZ,GyroKurtX,GyroKurtY,GyroKurtZ,GyroMinX,GyroMinY,GyroMinZ,GyroMaxX,GyroMaxY,GyroMaxZ,GyroVarX,GyroVarY,GyroVarZ,GyroMedianX,GyroMedianY,GyroMedianZ,GyroStdX,GyroStdY,GyroStdZ
1,0.285339355,-0.13861084,-0.957763672,0.022149538,0.003975128,0.001926223,0.867594123,-1.305867837,-0.507254094,-1.16480572,1.239840214,-0.761064593,1.141357422,-0.554443359,-3.831054688,0.162597656,-0.226806641,-1.013183594,0.480224609,-0.086669922,-0.911621094,0.022149538,0.003975128,0.001926223,0.249267578,-0.120483398,-0.953125,0.148827209,0.063048617,0.043888762,-0.177480916,4.190839695,0.498091603,0.761120176,0.18437154,0.262858614,0.225352264,-0.338028342,-1.72718311,-0.709923664,16.76335878,1.992366412,-4.710496332,-4.035868118,2.914795697,-0.923664122,3.694656489,-0.251908397,0.786259542,4.564885496,0.832061069,0.761120176,0.18437154,0.262858614,-0.286259542,4.251908397,0.70610687,0.872422017,0.429385072,0.51269739
1,0.313476563,-0.161669922,-0.95625,0.020570666,0.005639952,0.001456124,0.00247408,-0.395087618,-0.677572267,-2.649441254,-2.649802651,0.636761813,1.567382813,-0.808349609,-4.78125,0.162597656,-0.25390625,-1.013183594,0.480224609,-0.086669922,-0.911621094,0.020570666,0.005639952,0.001456124,0.322753906,-0.140380859,-0.950195313,0.143424773,0.075099617,0.038159187,0.528244275,3.891603053,0.377099237,3.061080357,0.585991492,0.270339724,1.282079703,-1.069371742,-0.50152995,2.641221374,19.45801527,1.885496183,1.633017509,0.846741563,-2.932892712,-0.923664122,2.694656489,-0.251908397,3.351145038,4.564885496,0.832061069,3.061080357,0.585991492,0.270339724,0.335877863,3.969465649,0.58778626,1.749594341,0.765500811,0.519942039
1,0.325195313,-0.158325195,-0.950154622,0.017280507,0.004579085,0.001387821,-0.354212175,-0.603657434,-0.984635007,-1.819231826,-1.472250516,0.663006287,1.951171875,-0.949951172,-5.700927734,0.162597656,-0.25390625,-1.013183594,0.480224609,-0.086669922,-0.911621094,0.017280507,0.004579085,0.001387821,0.353271484,-0.140991211,-0.943481445,0.131455343,0.067668938,0.037253465,0.18956743,3.773536896,0.038167939,3.137076316,0.5524309,0.905518326,1.309764668,-0.378863717,-1.302739759,1.13740458,22.64122137,0.229007634,1.663169851,-1.19224648,1.540639286,-1.503816794,2.694656489,-1.65648855,3.351145038,4.564885496,0.832061069,3.137076316,0.5524309,0.905518326,-0.286259542,3.832061069,0.240458015,1.771179358,0.743256954,0.951587267
1,0.33656529,-0.172467913,-0.937639509,0.015305357,0.005216019,0.002252914,-0.65565318,-0.1524541,-0.040529705,-1.214712256,-2.18548509,0.666209243,2.355957031,-1.207275391,-6.563476563,0.162597656,-0.257324219,-1.013183594,0.480224609,-0.086669922,-0.862548828,0.015305357,0.005216019,0.002252914,0.383789063,-0.141601563,-0.936767578,0.123714823,0.072222015,0.047464868,0.356597601,4.480916031,-0.102508179,2.80952381,3.963055766,0.893126996,0.861001767,2.00970662,-0.667797646,2.496183206,31.36641221,-0.717557252,0.434189901,4.642007404,-0.680104038,-1.503816794,2.694656489,-1.65648855,3.351145038,8.72519084,0.832061069,2.80952381,3.963055766,0.893126996,0.335877863,3.969465649,-0.106870229,1.67616342,1.990742516,0.945053965
1,0.337860107,-0.16418457,-0.941680908,0.01313229,0.005019784,0.002061732,-0.718487539,-0.446060798,0.250539487,-0.666621834,-1.909540391,0.556115624,2.702880859,-1.313476563,-7.533447266,0.162597656,-0.257324219,-1.013183594,0.480224609,-0.086669922,-0.862548828,0.01313229,0.005019784,0.002061732,0.365356445,-0.140991211,-0.943481445,0.114596205,0.070850434,0.0454063,0.176526718,4.434160305,-0.167938931,2.667567449,3.414393725,0.799786892,1.07205486,2.15115779,-0.388248402,1.41221374,35.47328244,-1.34351145,0.737749741,5.422660612,-0.817132542,-1.503816794,2.694656489,-1.65648855,3.351145038,8.72519084,0.832061069,2.667567449,3.414393725,0.799786892,-0.286259542,4.038167939,-0.179389313,1.633268946,1.847807816,0.894308052
1,0.331054688,-0.174560547,-0.949083116,0.011907578,0.005361259,0.00229715,-0.489631919,-0.123681772,0.349178432,-0.775819894,-2.19058185,-0.086416419,2.979492188,-1.571044922,-8.541748047,0.162597656,-0.257568359,-1.013183594,0.480224609,-0.086669922,-0.862548828,0.011907578,0.005361259,0.00229715,0.346923828,-0.141601563,-0.950195313,0.109121847,0.073220619,0.04792859,0.162849873,4.506361323,-0.396098388,2.335805023,3.034511392,1.168324172,1.138383143,2.014693447,-0.459678944,1.465648855,40.55725191,-3.564885496,1.239984227,5.065100787,-0.812186497,-1.503816794,2.694656489,-2.221374046,3.351145038,8.72519084,0.832061069,2.335805023,3.034511392,1.168324172,0.053435115,4.106870229,-0.251908397,1.528334068,1.7419849,1.080890453
1,0.313842773,-0.168261719,-0.951318359,0.013547013,0.005162316,0.002091874,-0.238809825,-0.349232012,0.514467817,-1.386842804,-2.016279873,0.209912698,3.138427734,-1.682617188,-9.513183594,0.158935547,-0.257568359,-1.013183594,0.480224609,-0.086669922,-0.862548828,0.013547013,0.005162316,0.002091874,0.334838867,-0.140991211,-0.959838867,0.116391637,0.071849258,0.045737009,0.035877863,4.421374046,-0.278625954,2.237490045,2.769571833,1.176508103,1.283554588,2.169999556,-0.624580051,0.358778626,44.21374046,-2.786259542,1.534341056,5.767468259,-0.731744595,-1.503816794,2.694656489,-2.221374046,3.351145038,8.72519084,0.832061069,2.237490045,2.769571833,1.176508103,-0.427480916,4.038167939,-0.179389313,1.495824203,1.664203062,1.084669582
1,0.301424893,-0.16208718,-0.955943714,0.013888553,0.005065458,0.00211802,-0.004837534,-0.528938956,0.649105155,-1.601637057,-1.79552919,0.114868454,3.315673828,-1.782958984,-10.51538086,0.158935547,-0.257568359,-1.013183594,0.480224609,-0.086669922,-0.862548828,0.013888553,0.005065458,0.00211802,0.322753906,-0.140380859,-0.969482422,0.117849705,0.071172034,0.046021947,-0.05759889,4.319916724,-0.190145732,2.109857976,2.605844118,1.144973539,1.426522723,2.282768183,-0.784470575,-0.633587786,47.51908397,-2.091603053,1.93342744,6.28259052,-0.527726505,-1.503816794,2.694656489,-2.221374046,3.351145038,8.72519084,0.832061069,2.109857976,2.605844118,1.144973539,-0.908396947,3.969465649,-0.106870229,1.452535017,1.614262717,1.070034364
1,0.291402181,-0.156534831,-0.957967122,0.013831415,0.004974905,0.001974603,0.186587261,-0.677132313,0.789870298,-1.621831018,-1.551532941,0.40092189,3.496826172,-1.878417969,-11.49560547,0.158935547,-0.257568359,-1.013183594,0.480224609,-0.086669922,-0.862548828,0.013831415,0.004974905,0.001974603,0.299682617,-0.125976563,-0.969726563,0.117607034,0.070533009,0.0444365,-0.122773537,4.270356234,-0.11259542,1.969025521,2.398424105,1.113053647,1.560727369,2.416529243,-0.920796318,-1.473282443,51.24427481,-1.351145038,2.398147454,7.008021485,-0.293476625,-1.503816794,2.694656489,-2.221374046,3.351145038,8.72519084,0.832061069,1.969025521,2.398424105,1.113053647,-0.874045802,3.847328244,0.240458015,1.403219698,1.548684637,1.055013577
1,0.292555589,-0.156850962,-0.95710637,0.012696091,0.004561629,0.001819684,0.155477174,-0.679655306,0.73627705,-1.432867816,-1.362421006,0.554877844,3.803222656,-2.0390625,-12.44238281,0.158935547,-0.257568359,-1.013183594,0.480224609,-0.086669922,-0.862548828,0.012696091,0.004561629,0.001819684,0.306396484,-0.140380859,-0.969482422,0.112676933,0.067539833,0.042657754,-0.123311803,4.25601879,-0.036406342,1.804943828,2.201227739,1.09576126,1.606843131,2.515282898,-1.026148475,-1.603053435,55.32824427,-0.473282443,2.77354736,7.67766178,-0.074679987,-1.503816794,2.694656489,-2.221374046,3.351145038,8.72519084,0.877862595,1.804943828,2.201227739,1.09576126,-0.839694656,3.969465649,0.58778626,1.343481979,1.48365351,1.046786157
